S.No,ApplicationName,VendorName,APP Use Case/Purpose of the application,Ticket Number,Vertical,TitanSPOC,OverAll,TPRM_Status,TPRM_Remarks,VAPT_Status,VAPT_Remarks,IAM_Status,IAM_Remarks,SOC_Status,SOC_Remarks,SecControls_Status,SecControls_Remarks,AssessmentStartDate,App URL ,Column1,Column2
30,Kaily AI [formerly Copilot.live],Shopsense Retail Technologies,"Kaily.ai (formerly Copilot.live) is a no-code conversational AI agent platform designed to create, deploy, and run AI agents (chatbots/voice agents) across multiple channels – website widget, WhatsApp, voice calls, mobile apps, etc.",RITM0043279,AI products,,Not Yet Started,yet to connect,,,,Yet to connect,"SSO- Yet to connect with the vendor,
SCIM-Yet to connect with the vendor,
User- ",,,,,,,,
31,Kudos, Advantage Club,Internal Instant RnR portal for Onroll and Offroll employees,RITM0044516,, venkatareddyv@titan.co.in,In-Progress,In Progress,"Assessment in progress with Vendor SPOC, reminder sent on 26th Dec'25",In Progress,Meeting on 25-11-2025 we have requested VAPT report. Yet to receive  ,Cleared,Not Applicable,Check,,Yet to connect,Waiting for SOC 2,11/25/2025,,,
32,Lesconcierges Services,Undertaking of PII and non utilization of titan email id,"Access the serives like provide restaurant recommandation, booking tickets..etc",0,Corp-Admin,,Completed,Cleared,,Cleared,Shared Document Is not Proper Vapt Report,Cleared,"Public application, SSO is not required",Cleared,No,Cleared,"No SOC2 type 2 report and started assessment with artifacts. But Artifacts are not satisfactory 
Vendor is going to submit again proper artifacts as discussed in the meeting",7/16/2025,,,
33,M/S Effigo ,Ebob procurement solution,"A combination of different sourcing methodologies with award Management process eliminating manual work and digitalizing the procurement process. This includes customized solution for Titan’s solitaire and diamond auction along EffiGO’s comprehensive auction tool.Procurement Automation , Reverse Auctions , Forward Auctions , RFQ , PR to PO Automation , PO to Pay Automation , Vendor Onboarding , ESG Evaluation, the application is hosted in the Titan in-house infrastructure, and the access will be available for the buyers and vendors over the internet.",RITM0043564,Jewellery-Hosur,selvarajanp@titan.co.in,In-Progress,Cleared,,In Progress,17-12-2025 we have shared the report. - 2 High and 7 medium vulnerabilities are yet to be fixed by dev team,Yet to connect,,Hold,Team has to give the pre assement form,Hold,This app HOLD for security controls by Business Team due to migration to Titan Environment,,,,
34,Maintenance management  System,Expert Digital Support ,Web based system used to daily machine breakdown entry by shift wise and every end of shift the daily logbook report will send through mail.,RITM0041897,Maintanence -TEAL,surabhisuresh@titan.co.in,In-Progress,Cleared,,In Progress,"Pending from surabhi, we are unable to test the application as we cannot access",Cleared,"SSO - Supported OIDC
SCIM/AutoProvisioing - Yet to know (Application Team to confirm on this activity)
User Count: 4 Users - FTE",Cleared,"As application hosted in On premises, it is integarted to titan Soc,",Cleared,Not Applicable,10/29/2025,,,
35,Medibuddy,Medibuddy,Insurance Claim at Retail Store for Eye Lens,0,Eyeplus,ramasubramaniant@titan.co.in,Completed,Cleared,,Cleared,Not Applicable,Cleared,There are no SSO required as it will be from POS system to Meddibuddy team interaction,Cleared,Not Applicable,Cleared,NA,9/3/2025,,,
36,Mendix,,Watch Service App,0,Wearbales,,Completed,Cleared,,Cleared,,Closed,No Connect at the Moment with the Vendor,Cleared,Yes,Cleared,"Assessment completed based on Received SOC2,VAPT reports and artifacts",6/30/2025,,,
37,Mendix (TEAL),Mendix,SRM to SAP Business Quality transfer,0,TEAL,sankararaman@titan.co.in,In-Progress,Cleared,,In Progress,30-10-2025 we have shared the report Web app VAPT - 3 medium vulnerabilities are yet to be fixed by dev team,Yet to connect,,Cleared,,Cleared,Based on the SOC2 type 2 report Major security controls are enabled,10/13/2025,,,
38,Minitab,Swajyot Technologies Pvt. Ltd.,MSS is statistical analysis software; the optional AI feature summarizes analysis results to aid interpretation; no autonomous actions.,RITM0043556,Watches & Wearables-Hosur QC,rajakumar@titan.co.in,Completed,Cleared,,Cleared,Not Applicable,Cleared,Not Applicable,Cleared,Not Applicable,Cleared,NA,22-10-2025,,,
39,mirrAR Voice AI,mirrAR,"mirrAR Voice AI enables Tanishq UAE to automate inbound and outbound voice interactions—appointment reminders, customer follow-ups, feedback collection, enquiries, and store visit coordination—using AI voice agents. The solution improves customer experience and reduces manual workload.",RITM0044068,,naveenn@titan.co.in,Not Yet Started,yet to connect,,,,Yet to connect,,,,,,,,,
40,MoEngage marketing solution,MoEngage,"MoEngage has Business Units (BU) including HR, IT, Sales, Marketing, Finance, Support, Engineering, and Project departments. Each BU is managed by BU Managers who oversee day-to-day operations and appoint department champions for enforcing security and privacy policies.",RITM0043804,,santoshkv@titan.co.in,Completed,Cleared,,Cleared,"9-12-2025 we have requested for AI AppSec VAPT and Red Teaming Report – Pending
AI Security Guard Tools – Pending",Cleared,"SSO - Supported SAML
SCIM/AutoProvisioing - Supported, 
User Count:  5200 Users (FTE & NonFTE users details yet to confirm by Titan SPOC)",Cleared,,Cleared,"All AWS hardening document to be filled by vendor
Soc2 type report under review",11/21/2025,,,
41,MoveInSync,MoveInSync Technology Solutions Private Limited,MoveInSync’s Employee Transport Solution automates employee transport for organizations that provide transportation to their employees.,RITM0042394,Admin,ganapathi@titan.co.in,In-Progress,Cleared,,In Progress,Cleared for web. Sunitha has to review mobile VAPT reports. 06-01-2026 sunitha mailed for vulnerabilities remediation,Cleared,"SSO and JML supported for the web application, mobile applicaiton it's not possible",In Progress,"vendor have internal soc, 6-jan-26,soc Questionarie sent to proofs ",Cleared,SOC2 type report is valid,11/21/2025,,,
42,"Nameplate Application 
(Code365)",,Device/Pheripharals QR generation,0,,,Completed,Cleared,,Cleared,,Cleared,UAT SSO has been configured,Cleared,Yes,Cleared,Provided all security controls IAAS level by InfoSec Team,6/16/2025,,,
43,Navigation Display,,Titan Campus route navigation app like meeting room etc,0,CORP-HR,ganapathi@titan.co.in,Completed,Cleared,,Cleared,Not Applicable,Cleared,Its Kiosk based solution with Local Login with the Vendor only and will not be accessible with Titan ID hence no SSO ,Cleared,No,Cleared,Railway cloud .Artifacts is pending,7/28/2025,,,
44,Nayagra platform (IBMS server),four corners technologies,"Energy Meter :
Niagara 4 is used for building automation, monitoring, and control across HVAC, lighting, energy Meters. It uses native features like trend logs, alarms, schedules, and rule-based logic to automate and optimize building operations.",RITM0042311,Corp-Admin,shruthibn@titan.co.in,Completed,Cleared,Not Required,Cleared,Not Applicable,Cleared,Not Required,Cleared,,Cleared,NA,,,,
45,Nogrunt Tool,Qualitrix company,Website functional testing ,0,Perumal G,suganneshan@titan.co.in,In-Progress,Cleared,,In Progress,12-12-2025 we have received UAT URL and Test credentials. Testing initiated from our end,Cleared,"SSO - Enabled SAML2.0
SCIM/AutoProvisioing - Manual Provisioning, 
User Count:  50-80 Users (25-50FTE &  25-30NonFTE)",Cleared,"Yes, Inhouse",Cleared,"ECOM vertical is going use Titan AWS account  
ECOM-SITETESTRUNNER-DEV",11/17/2025,,,
46,Nymble up,Nymble up,Audit the SOPs of all the stores -Digitization (Automation),0,IBD,kamaladass@titan.co.in,In-Progress,Cleared,,In Progress,29-10-2025 we have received an email to do VAPT. 30-10-2025 we have delivered the VAPT Report stating vulnerabilities and on 3-12-2025 we did the revalidation Web app VAPT - 3 high 4 medium vulnerabilities are yet to be fixed by dev team,In Progress,SSO & JML vendor to confirm,In Progress,"Email sent to get Arifacts, no Soc2 report",Cleared,Reviewed the GCP Hardening CIS Benchmark and verified that all critical and high-severity security controls are enabled,10/10/2025,,,
47,Oracle EBS,Rostan Technologies Pvt Ltd,integration of Oracle EBS with the Indian Government’s IRP portal via the GSP API,RITM0042221,Jewellery-,selvamurugan@titan.co.in,Completed,Cleared,,Cleared,Not Applicable,Cleared,Not Applicable,Cleared,Not Applicable,Cleared,NA,,,,
48,Phenom (Career Platform)- AI,Phenom,Titan Recruitement portal,RITM0045138,IBD,senthilkumaru@titan.co.in,In-Progress,Cleared,,In Progress,9-12-2025 we have received and 12-12-2025 we have requested for SBOM,Cleared,"SSO & JML it will support, User count will be 100+",Cleared,Yes,Cleared,Based on the SOC2 type 2 report Major security controls are enabled,12/11/2025,,,
49,Phone Pe,Phone P (e-EGHS),Intregration with phone pay -GHS /Rivaah wedding Jewellery,0,Jewellery/SP,Bikash@titan.co.in,Completed,Cleared,"Triggered Pre-Assessment | Bikash responded he's not the Titan SPOC , awaiting details, reminder sent on 17-12-2025",Cleared,,Cleared,"SSO - Not Required (PhonePe and Titan Store will consume the data over API which PhonePe exposing)
SCIM/AutoProvisioing - NA
User Count: Unknown as will be used by  Consumers ",Cleared,,Cleared,Submitted RBI reports,,,,
50,POS Application,IBD - SCANDIT,Passport Scanning - MRZ Technology,RITM0043146,IBD-JEW,raguramans@titan.co.in,Not Yet Started,yet to connect,,In Progress,Yet to receive VAPT Report after kick off meeting,Yet to connect,"SSO- Yet to connect with the vendor,
SCIM-Yet to connect with the vendor,
User- ",,,,,,,,
51,Product Info Management (PIM)- AI,Vinculum,"Helps you generate and moderate content, streamlines automations and workflows, helps with bulk image transformations. It is an AI Agent which is helping you to write content of the products and list it on multiple Sales Channels",RITM0043043,Innovations-Eyecare Division,naveenn@titan.co.in,In-Progress,Cleared,,In Progress,9-12-2025 we have received the reports and 13-12-2025 we have reviewed and we received SBOM details on 16-12-2025 analyzed and mailed on the same day to update the packages,Cleared,"SSO- Supported  SAML2.0
SCIM-Supported,
User- 16 FTE ",In Progress,"Soc-2 shared, no siem, logs are retined ,06-jan soc questionaries shared",Cleared,"No Soc2 type report is avialable
Submitted security controls artifacts ",11/26/2025,,,
52,Quick Metrix,,,0,CRM,Shalki@titan.co.in,New Request,yet to connect,,,,Yet to connect,,,,,,,,,
53,RPT Application,,,0,Finance,nandansharma@titan.co.in; shivakumar@titan.co.in,New Request,yet to connect,,,,Yet to connect,,,,,,,,,
54,SalesAssist Project ,,,0,Taneria,muruganandham@titan.co.in,Reopen,yet to connect,,Hold,,Hold,"Not being  part of the discussion, Yet to get the details once connected with the team",Hold,,Hold,,,,,
55,SAP Consultation,HTC  Global ,IT consultation and support. They are using our SAP and based on study they are providing consultation on  exiting process optimization .,RITM0043609,TEAL,Piyushb@titan.co.in,Completed,Cleared,,Cleared,,Cleared,,Cleared,,Cleared,,11/12/2025,,,
56,SAP BOT Microsite,No Vendor,SAP User Management - Unlock account and Passowrd reset,RITM0043710,Wearables,Goutam_SG@titan.co.in,Completed,Cleared,Not Applicable - InHouse,Cleared,26-11-2025 we have received for testing and 2-12-2025 we have sent the report and on 5-12-2025 we have got the request to retest. Retesting in progress -  we will be sharing report on 18-12-2025,Cleared,"SSO- Not required,the application  is used to reset the password of their own SAP login password  ( Can be linked to My apps but yet be confirmed by the application team)
SCIM-NA,
Usercount- Around 5000",Cleared,"Not Applicable, Sap will not allow to integrate",Cleared,Not Applicable,11/26/2025,,,
57,SAP ESM (Service cloud V2),PWC,HR Ticketing system for HR related help,RITM0042438,People Function,bhaveshsolanki@titan.co.in/venkatareddyv@titan.co.in,In-Progress,Cleared,,In Progress,12-12-2025 we have received the report. 16-12-2025 we have requested for artifacts and SBOm analysis. 17-12-2025 we got a revert with artifacts and we are good with the report and again did a follow up for SBOM,Yet to connect,,check,,Cleared,Based on the SOC2 type 2 report Major security controls are enabled,10/23/2025,,,
58,SAP implementation services,YASH Technologies Pvt Ltd,"YASH Technologies is providing Titan Company with SAP SuccessFactors implementation services to enhance its performance. Additionally, YASH offers Application Management Services (AMS), delivering enterprise-level SAP support. The AMS services aim to lower Titan's operational costs, improve its operational efficiency, and increase end-user satisfaction. Furthermore, YASH's AMS services help reduce incidents and turn operational expenses into capital investments for Titan Company.",0,HR,venkatareddyv@titan.co.in; bhaveshsolanki@titan.co.in,Closed,Closed,,Cleared,,Closed,Not Required with App Onboarding,Closed,,Closed,,,,,
59,SAP SAC (Analytics Cloud),Hornbill Labs,All Titan employees analytics count-Dashboarding tool,RITM0045595,HR,akshatv@titan.co.in,In-Progress,In progress,"Risks highlighted to vendor team, awaiting for artifacts",In Progress,17-12-2025 we had a meeting and waiting for the report,Yet to connect,,NA,"No SIEM enabled, Log Store Yes(Need evidence)",Cleared,Based on SAP Cloud Analytics SOC 2 certified,,,,
60,Selyek Discussion,Digital lock,Store Lock system,0,Corp-Admin,imansingh@titan.co.in,Reopen,Cleared,,Hold,,Hold,Yet to get the details once connected with the application team,Hold,,Hold,,9/25/2025,,,
61,Simpliance Vendor / TAMS,Aparajitha,"Manufacturing contract employee management, Payroll module and compliance",RITM0042641,People Function/HR,,Closed,Closed,,Cleared,Report is alright but libraries of front end back end and database is outdated,Closed,"SSO- For Simpliance SSO is supported and for TAMS Not feasable as of now it may take sometime to implement SSO updated by vendor ,
SCIM-Not feasable for both Simplaince and TAMS as of now confirmed by  vendor,
User- 25 FTE users",Closed,No SOC,Closed,,10/24/2025,,,
62,Social Listening Tool - Sprinklr,Sprinklr,"Sprinklr Insights will be used by brand team to understand brand health, sentiment analysis, key themes, competitor analysis to drive business decisions. ",RITM0044402,CRM,Shalki@titan.co.in,Completed,Cleared,,Cleared,9-12-2025 we have received SBOM and 13-12-2025 we have requested for artifacts relate to SBOM. 17-12-2025 we had a meeting regarding SBOM and yet to receive SBOM file,Cleared,"SSO is not required as it is social platform , Sprinklr Insights will be used by brand team to understand brand health, sentiment analysis, key themes, competitor analysis to drive business decisions.",NA,Tool search for Brand Name which is Public data.,Cleared,Based on the SOC2 type 2 report Major security controls are enabled,11/27/2025,,,
63,Tata InnoVista,Tata Innovista,"The Scope of Services includes :-
1.Access for Titan Company to participate in Tata Innovista, a group-level Innovation Award, and,
2. Ability to create and conduct other Internal Awards on the platform.
So far, OTDT, Kaizen Mela and Unlike Awards are being conducted on this platform.",RITM0043554,,nirmalj@titan.co.in,Closed,Cleared,,In Progress,we had a meeting on 26-11-2025 Vendor will share latest VAPT report. 11-12-2025 we did follow up on the same,Cleared,Already SSO enabled,Cleared,"vendor has to provde their the SOC tickect resloving time, incidnet handle procedure",Cleared,Not Applicable,11/26/2025,,,
64,Text2SQL Engagement,,,0,,swetha_kv@titan.co.in,Closed,yet to connect,,,,Yet to connect,,,,,,,,,
65,TIAA SS,,Large Audit Data Analytics,RITM0044962,IA,ashishdeshpande@titan.co.in,Not Yet Started,yet to connect,,,,Yet to connect,,,,Cleared,In-House and license based application developed by IA Team,1/9/2026,,,
66,Titan PTP Agentic AI Implementation ,Deliotte,Voice bot -Open AI - Student Voice -CSR project Learing Tools,RITM0042450,Corp-App,ranjanid@titan.co.in,Closed,Closed,,Cleared,,Closed,,Closed,Yes,Closed,,,,,
67,Titan Track & Trace Project,Pinesphere Solutions Pvt Ltd,"The Track and Trace Titan Project is developed to digitize and streamline the manual processes involved in watch factory case manufacturing operations. It includes modules such as User Management, Workflow Management, and Process Tracking for complete traceability and operational accuracy.",RITM0042005,Watch Division/ Electroplating,balajit@titan.co.in,In-Progress,Cleared,,In Progress,11-12-2025 we have requested for report. Yet to receive VAPT Report ,In Progress,"SSO - Planned to integrate, as of now not enabled.
SCIM/AutoProvisioing - To be confirm by Vendor.
User Count: 62 Users - FTE",Cleared,Application hosted in Titan server,Cleared,In-house App,10/24/2025,,,
68,TEAL-WMS(viniculum),Viniculum,"The application is a core operational system used on a daily basis to manage warehouse operations, inventory tracking, order processing, and logistics workflows. Any unavailability or degradation of this application would have a direct impact on business operations and service delivery.",RITM0046560,Teal,jothisanthan@titan.co.in,In-Progress,yet to connect,,In-Progress,Yet to receive VAPT Report ,In Progress,,In Progress,new application waiting for details,In-Progress,,1/5/2026,,,
